Abstract,Author Keywords
"As a typical application of machine learning in the mobile field of security and privacy protection, the main characteristics of arts and crafts materials are to advocate the practicality and functionality of design, emphasizing the unity of practicality and aesthetics, and practicality is the first. The so-called practicality refers to whether the designed product meets the specific functional requirements or aesthetic requirements, and whether it is convenient, comfortable and safe to use. Based on computer vision, this paper studies the material and aesthetic characteristics of arts and crafts works, and the research shows that this method has achieved the best performance. More specifically, the maximum expected value of this method is 0.69, which is much higher than the corresponding values of 0.54 and 0.50 in references [1] and [2] respectively. The experimental results show that our method is specially designed for the distributed learning of process aesthetics, and it is still a very effective tool for the aesthetic classification task of process aesthetic feature images. Based on computer vision, this paper studies the creative style and aesthetic characteristics of arts and crafts materials, and makes a comprehensive investigation and beneficial exploration on their development, aesthetic characteristics and creative style.",Computer vision; industrial art; work materials; process aesthetic characteristics; machine learning for secure; privacy-preserving mobile
"Anomaly analysis is an important component of any surveillance system. In recent years, it has drawn the attention of the computer vision and machine learning communities. In this article, our overarching goal is thus to provide a coherent and systematic review of state-of-the-art techniques and a comprehensive review of the research works in anomaly analysis. We will provide a broad vision of computational models, datasets, metrics, extensive experiments, and what anomaly analysis can do in images and videos. Intensively covering nearly 200 publications, we review (i) anomaly related surveys, (ii) taxonomy for anomaly problems, (iii) the computational models, (iv) the benchmark datasets for studying abnormalities in images and videos, and (v) the performance of state-of-the-art methods in this research problem. In addition, we provide insightful discussions and pave the way for future work.",Anomalies; anomaly analysis; anomaly detection; anomaly prediction; deep learning
"Structural damage detection techniques are gaining widespread attention in construction engineering and management. However, the scarcity of structural damage samples and the cross-task transferability of existing knowledge currently limit this technique in practical applications. Therefore, this paper proposes a novel framework for structural damage detection with large scope of cross-task learning capability that incorporates Bayesian estimation and variational inference into the deep learning backbones and Bayesian weight function into the outer loop process of metalearning. Experimental results demonstrate the superiority of this method for both structural damage image classification and structural damage semantic segmentation. Compared with existing frameworks, the proposed method can alleviate the negative influence of domain bias and reduce computation time and costs due to sample labeling. This paper also discusses how the proposed framework can be used to train a model of the structural damage detection framework in extreme cases. The framework and findings presented in this paper have important theoretical and practical contributions to the literature on vision-based structural damage detection.",Probabilistic neural networks; Metalearning; Structural damage detection; Intelligent construction
"Single target tracking based on computer vision helps to collect, analyse and exploit target information. The SwinTrack algorithm has received widespread attention as one of the twin network algorithms with the best trade-off between tracking accuracy and speed, but it also suffers from the insufficient fusion of deep and shallow features leading to loss of shallow information and insufficient use of temporal information leading to inconsistency between target and template. Semantic information and detailed information are combined and multiple convolutional forms are introduced to propose a multi-level feature fusion strategy to effectively fuse features in space. Besides, based on the idea of feedback, a dynamic template branching approach is also designed to fuse temporal features and enhance the representation of target features. The effectiveness of this method was verified on the OTB100 and GOT10K datasets.",computer vision; feature extraction; image processing; object tracking
"Aiming at obtaining structural information and 3D motion of dynamic scenes, scene flow estimation has been an interest of research in computer vision and computer graphics for a long time. It is also a fundamental task for various applications such as autonomous driving. Compared to previous methods that utilize image representations, many recent researches build upon the power of deep analysis and focus on point clouds representation to conduct 3D flow estimation. This paper comprehensively reviews the pioneering literature in scene flow estimation based on point clouds. Meanwhile, it delves into detail in learning paradigms and presents insightful comparisons between the state-of-the-art methods using deep learning for scene flow estimation. Furthermore, this paper investigates various higher-level scene understanding tasks, including object tracking, motion segmentation, etc. and concludes with an overview of foreseeable research trends for scene flow estimation.",3D scene flow; literature survey
"Automatic translation from signed to spoken languages is an interdisciplinary research domain on the intersection of computer vision, machine translation (MT), and linguistics. While the domain is growing in terms of popularity-the majority of scientific papers on sign language (SL) translation have been published in the past five years-research in this domain is performed mostly by computer scientists in isolation. This article presents an extensive and cross-domain overview of the work on SL translation. We first give a high level introduction to SL linguistics and MT to illustrate the requirements of automatic SL translation. Then, we present a systematic literature review of the state of the art in the domain. Finally, we outline important challenges for future research. We find that significant advances have been made on the shoulders of spoken language MT research. However, current approaches often lack linguistic motivation or are not adapted to the different characteristics of SLs. We explore challenges related to the representation of SL data, the collection of datasets and the evaluation of SL translation models. We advocate for interdisciplinary research and for grounding future research in linguistic analysis of SLs. Furthermore, the inclusion of deaf and hearing end users of SL translation applications in use case identification, data collection, and evaluation, is of utmost importance in the creation of useful SL translation models.",Sign language; Computer vision; Machine translation; Deep learning; Literature review
"In recent years, object detection in computer vision has developed rapidly. However, crowded pedestrian detection in object detection remains a challenging problem, especially in one-stage detectors where improved solutions are rare. In this paper, we propose a novel crowded pedestrian detection method called YOLO-CPD which works better than other one-stage models in crowded environments. Our method primarily enhances the ability of the one-stage detector to detect multiple overlapping objects in a single area. The core of our approach is to use boxes difference to adjust the IoU value of the Non-Maximum Suppression (NMS) and to improve the Intersection over Union regression loss (IoU Loss), with an Optimised Score Module (OPSC). Compared to the baseline, YOLO-CPD can improve the Average Precision (AP) by a 5.04% increase, Recall by a 2.17% increase and the log-average Miss Rate (MR-2) by a 5.12% reduction on the CrowdHuman dataset. In addition, YOLO-CPD also achieved good results in the WiderPerson dataset, demonstrating the strong generalisation capability of our proposed method.",YOLOX; Crowd pedestrian detection; Object detection; Computer vision
"Repair technologies have been considered as sustainable approaches due to their capability to restore value in a damaged component and bring it to like-new condition. However, in contrast to a manufacturing process benefiting from an automated environment, the automation level for repair and remanufacturing processes remains low. With the aim of moving the repair industry towards autonomy, this study proposes a novel repair framework. The developed methodology presents a vision-based Robotic Laser Cladding Repair Cell (RLCRC) that has two features: (a) an intelligent inspection system that uses a deep learning model to automatically detect the damaged region in an image; (b) employing computer vision-based calibration and 3D scanning techniques to precisely identify the geometries of damaged area. The repair of fixed bends is selected as the case study. The results obtained validate the efficacy of the proposed framework, enabling automatic damage detection and damaged volume extraction for worn fixed bends. Following the suggested framework, a time reduction of more than 63% is reported.",Repair systems; Computer vision; Autonomous manufacturing; Deep learning
"With the good performance of deep learning in the field of computer vision (CV), the convolutional neural network (CNN) architectures have become main backbones of image recognition tasks. With the widespread use of mobile devices, neural network models based on platforms with low computing power are gradually being paid attention. However, due to the limitation of computing power, deep learning algorithms are usually not available on mobile devices. This paper proposes a lightweight convolutional neural network TripleNet, which can operate easily on Raspberry Pi. Adopted from the concept of block connections in ThreshNet, the newly proposed network model compresses and accelerates the network model, reduces the amount of parameters of the network, and shortens the inference time of each image while ensuring the accuracy. Our proposed TripleNet and other State-of-the-Art (SOTA) neural networks perform image classification experiments with the CIFAR-10 and SVHN datasets on Raspberry Pi. The experimental results show that, compared with GhostNet, MobileNet, ThreshNet, EfficientNet, and HarDNet, the inference time of TripleNet per image is shortened by 15%, 16%, 17%, 24%, and 30%, respectively.",Edge computing platform; Image classification; Convolutional neural network; Model acceleration; Model compression; Raspberry Pi
"Quality control inspection has become one key task in the industrial manufacturing field. Due to technological advances and the fast development of Industry 4.0 concepts, factories are demanding high precision and accuracy of autonomous systems for inspections of industrial parts. Vision-based measurement (VBM) implements image-based evaluations by using cameras as main sensors and customized software to perform measurements. On the other hand, the new paradigm of production brought by Industry 4.0 allows integration at all levels at the physical manufacturing plant, ranging from the shop floor to the office, resulting in better operational efficiency. This article introduces in detail an architecture that enables the integration of VBM systems for the accomplishment of autonomous quality control inspections. It discusses aspects related to computer vision techniques, from the setup and calibration procedures to the main aspects related to the customized algorithms for measurement based on image processing in 2D and 3D. An explanation for estimating the uncertainty associated with measurements taken by the VBM system according to the standard specifications is provided, as well as a well-organized overview of current research efforts and design challenges in developing VBM systems for autonomous inspection, is presented. Finally, it establishes a manner to integrate VBM systems into the heterogeneous manufacturing systems encountered in factories around the world.",Vision-based measurement (VBM); Industry 4; 0; Quality control inspection; Algorithms for measurement; Uncertainty analysis
